,isComment,tweet_id,text,date,username,retweeted_status,retweet_count,likes,comments,comments_ids,repliesTo
1447668674291191808,False,1447668674291191808,"Police doesn’t make people honest, education does. The more  educated a country is the less police it has.",2021-10-11 21:01:22+00:00,martinvars,True,8,31,{'number of replies found': 0},[],
1447604049805824003,False,1447604049805824003,@business Under most estimates extreme weather is killing 30K and air pollution 7 million. Above all we need clean air.,2021-10-11 16:44:35+00:00,martinvars,False,0,0,{'number of replies found': 0},[],
1447598834553704457,False,1447598834553704457,@DavidSacks Good explanation as to why Facebook usage is declining.,2021-10-11 16:23:51+00:00,martinvars,False,0,4,{'number of replies found': 0},[],
1447595835236261895,False,1447595835236261895,@aromeromyt Por favor pon enlaces me interesa lo del estado mexicano pidiendo perdón porque el argentino debería hacer lo mismo.,2021-10-11 16:11:56+00:00,martinvars,False,0,1,{'number of replies found': 0},[],
1447590536521584642,False,1447590536521584642,En el caso de mi país nativo Argentina es aún más así ya que las masacres más terribles de indígenas y el expolio m… https://t.co/IfN0gsTQt3,2021-10-11 15:50:53+00:00,martinvars,True,3,31,{'number of replies found': 0},[],
1447589048378433539,False,1447589048378433539,Justamente ese es el problema. Los que viven en México son los descendientes de los conquistadores. Son ellos que d… https://t.co/QA4aQbAFkQ,2021-10-11 15:44:58+00:00,martinvars,True,14,76,"{'1447668527398146048': {'isComment': True, 'repliesTo': 'martinvars', 'tweet_id': '1447589048378433539', 'text': '@martinvars Tampoco.', 'date': '2021-10-11 21:00:47+00:00', 'username': 'TancrediLeo', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1447666045838315525': {'isComment': True, 'repliesTo': 'martinvars', 'tweet_id': '1447589048378433539', 'text': '@martinvars Creo que los mexicanos deberían centrarse en sus problemas del AHORA y no dejarse desviarlo su atención por debates estériles..', 'date': '2021-10-11 20:50:56+00:00', 'username': 'TocaNas', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1447632120600530949': {'isComment': True, 'repliesTo': 'martinvars', 'tweet_id': '1447589048378433539', 'text': '@martinvars Para que pedir disculpas? Si volviese a ocurrir haríamos lo mismo.', 'date': '2021-10-11 18:36:07+00:00', 'username': 'ricard0miranda', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1447622028811509762': {'isComment': True, 'repliesTo': 'martinvars', 'tweet_id': '1447589048378433539', 'text': '@martinvars Que buen punto Martin. Toda la razón, dentro de esta sinrazón.', 'date': '2021-10-11 17:56:01+00:00', 'username': 'ParsimoniaC', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1447613853827751938': {'isComment': True, 'repliesTo': 'martinvars', 'tweet_id': '1447589048378433539', 'text': '@martinvars .Los que viven en Mexico no son descendientes de los conquistadores. Son una mezcla multirracial mestiz… https://t.co/S93a7sjcnn', 'date': '2021-10-11 17:23:32+00:00', 'username': '1cafelitoalas11', 'retweeted_status': False, 'retweet_count': 0, 'likes': 2}, '1447605597721939972': {'isComment': True, 'repliesTo': 'martinvars', 'tweet_id': '1447589048378433539', 'text': '@martinvars Que pavada todo esto. Me imagino a Mongolia y Macedonia pidiendole disculpas a medio mundo.', 'date': '2021-10-11 16:50:44+00:00', 'username': 'AmadorArgentino', 'retweeted_status': False, 'retweet_count': 0, 'likes': 2}, 'number of replies found': 6}","['1447668527398146048', '1447666045838315525', '1447632120600530949', '1447622028811509762', '1447613853827751938', '1447605597721939972']",
1447434968771272707,False,1447434968771272707,Great way to deal with the range challenge. https://t.co/tyB79R8h14,2021-10-11 05:32:43+00:00,martinvars,True,1,10,{'number of replies found': 0},[],
1447306183371640832,False,1447306183371640832,Totalmente de acuerdo. https://t.co/n7oSQSxuat,2021-10-10 21:00:58+00:00,martinvars,True,1,28,{'number of replies found': 0},[],
1447306001141706754,False,1447306001141706754,"@europapress El tema fue la brutalidad con que se hizo. No dejar salir a los niños, no dejar hacer deportes en soli… https://t.co/bg5fhDBidq",2021-10-10 21:00:14+00:00,martinvars,True,6,46,{'number of replies found': 0},[],
1447292222483881988,False,1447292222483881988,RT @ScienceMagazine: New digital biomarkers for autism spectrum disorder in @ScienceAdvances can more accurately and sensitively identify c…,2021-10-10 20:05:29+00:00,martinvars,True,21,0,{'number of replies found': 0},[],
